Qin,RECOVERY,CODin,BOD5in,CIin,HARDin,SSin,NH3Nin,LASin,CHROMin,CODout,BOD5out,CIout,HARDout,SSout,NH3Nout,LASout,CHROMout,LEVEL,YEAR,COST
2200,0.9,10,4,1500,650,50,1,0.02 ,0,10,4,1500,650,0.1,1,0.02 ,0,2,6,859200
2200,0.9,10,4,1500,650,5,1,0.02 ,0,10,4,1500,10,0.1,1,0.02 ,0,3,6,1195000
2000,0.75,10,4,1500,650,0.1,1,0.02 ,0,1,0.4,40,1,0,0.1,0.00 ,0,2,6,2390800
2200,0.9,10,4,1500,650,50,1,0.02 ,0,10,4,1500,10,0.1,1,0.02 ,0,2,6,1434200
2000,0.75,10,4,1500,650,5,1,0.02 ,0,1,0.4,40,1,0,0.1,0.00 ,0,2,6,3010800
120,0.85,400,80,18000,1200,5500,20,0.80 ,0,300,60,12000,80,0.1,15,0.60 ,0,1,6,1320000
120,1,400,80,18000,1200,5500,20,0.80 ,0,400,80,18000,1200,2,20,0.80 ,0,1,6,620000
120,0.85,400,80,18000,1200,2,20,0.80 ,0,300,60,12000,80,0.1,15,0.60 ,0,1,6,700000
96,1,30,9,3000,50,5,0.5,0.06 ,0,10,3,262,5,0.1,0,0.02 ,0,3,8,882000
96,0.99,30,9,3000,50,5,0.5,0.06 ,0,30,9,3000,50,1,0.5,0.06 ,0,3,8,6500
96,0.99,30,9,3000,50,1,0.5,0.06 ,0,20,6,3000,50,0.1,0.2,0.04 ,0,3,8,8500
96,0.75,20,6,3000,50,0.1,0.2,0.04 ,0,3,0.9,100,3,0,0,0.01 ,0,2,8,124500
24,0.5,80,24,12000,200,0.4,0.8,0.16 ,0,10,3,500,8,0,0,0.02 ,0,2,8,75300
12,1,160,48,24000,400,0.8,1.6,0.32 ,0,20,6,1000,5,0,0.5,0.04 ,0,3,8,667200
96,0.98,30,9,3000,50,5,0.5,0.06 ,0,20,6,3000,50,0.1,0.2,0.04 ,0,3,8,15000
96,0.75,30,9,3000,50,1,0.5,0.06 ,0,3,0.9,100,3,0,0,0.01 ,0,3,8,133000
96,0.875,20,6,3000,50,0.1,0.2,0.04 ,0,10,3,500,8,0,0,0.02 ,0,2,8,199800
24,1,80,24,12000,200,0.4,0.8,0.16 ,0,20,6,1000,5,0,0.5,0.04 ,0,3,8,742500
96,0.75,30,9,3000,50,5,0.5,0.06 ,0,3,0.9,100,3,0,0,0.01 ,0,3,8,139500
96,0.875,30,9,3000,50,1,0.5,0.06 ,0,10,3,500,8,0,0,0.02 ,0,2,8,208300
96,1,20,6,3000,50,0.1,0.2,0.04 ,0,20,6,1000,5,0,0.5,0.04 ,0,3,8,867000
96,0.875,30,9,3000,50,5,0.5,0.06 ,0,10,3,500,8,0,0,0.02 ,0,3,8,214800
96,1,30,9,3000,50,1,0.5,0.06 ,0,20,6,1000,5,0,0.5,0.04 ,0,3,8,875500
2112,0.95,30,9,3000,50,300,0.5,0.06 ,0,30,9,3000,50,5,0.5,0.06 ,0,3,6,1603000
240,0.7,45,13.5,3800,1400,2,1,0.09 ,0,15,4.5,120,5,0,0.1,0.03 ,0,3,6,328300
240,0.99,45,13.5,3800,1400,2,1,0.09 ,0,45,13.5,3800,1400,0.2,1,0.09 ,0,3,6,55200
240,0.99,45,13.5,3800,1400,0.2,1,0.09 ,0,45,13.5,3800,50,0.2,1,0.09 ,0,3,6,72000
240,0.7,45,13.5,3800,50,0.2,1,0.09 ,0,15,4.5,120,5,0,0.1,0.03 ,0,2,6,201100
240,0.98,45,13.5,3800,1400,2,1,0.09 ,0,45,13.5,3800,50,0.2,1,0.09 ,0,3,6,127200
240,0.7,45,13.5,3800,1400,0.2,1,0.09 ,0,15,4.5,120,5,0,0.1,0.03 ,0,3,6,273100
960,0.7,45,13.5,3400,1400,2,1,0.09 ,0,15,4.5,110,5,0,0.1,0.03 ,0,3,6,1078000
960,0.99,45,13.5,3400,1400,2,1,0.09 ,0,45,13.5,3400,1400,0.2,1,0.09 ,0,3,6,172000
960,0.99,45,13.5,3800,1400,0.2,1,0.09 ,0,45,13.5,3400,50,0.2,1,0.09 ,0,3,6,265000
960,0.7,45,13.5,3800,50,0.2,1,0.09 ,0,15,4.5,110,5,0,0.1,0.03 ,0,3,6,641000
960,0.98,45,13.5,3800,1400,2,1,0.09 ,0,45,13.5,3400,50,0.2,1,0.09 ,0,3,6,437000
960,0.7,45,13.5,3800,1400,0.2,1,0.09 ,0,15,4.5,110,5,0,0.1,0.03 ,0,3,6,906000
520,0.7,20,8,2200,50,6000,2,0.04 ,0,5,2,75,5,0.1,1,0.01 ,0,1,6,1134100
520,1,20,8,2200,50,6000,2,0.04 ,0,20,8,2200,50,0.5,2,0.04 ,0,1,6,750600
520,0.7,20,8,2200,50,0.5,2,0.04 ,0,5,2,75,5,0.1,1,0.01 ,0,1,6,383500
792,0.7,20,8,3200,50,5000,2,0.04 ,0,5,2,120,5,0.1,1,0.01 ,0,1,6,1420000
792,1,20,8,3200,50,5000,2,0.04 ,0,20,8,3200,50,0.5,2,0.04 ,0,1,6,923000
792,0.7,20,8,3200,50,0.5,2,0.04 ,0,5,2,120,5,0.1,1,0.01 ,0,1,6,497000
2400,0.65,10,4,4500,2400,100,1,0.02 ,0,2,0.8,130,20,0,0.1,0.00 ,0,1,6,3850470
2640,1,10,4,4500,2400,100,1,0.02 ,0,10,4,3800,120,10,1,0.02 ,0,1,6,335965
2640,0.99,10,4,3800,120,10,1,0.02 ,0,10,4,3800,120,1,1,0.02 ,0,1,6,275800
2640,0.99,10,4,3800,120,1,1,0.02 ,0,8,3.2,3800,120,0.5,0.5,0.02 ,0,1,6,425000
2640,0.9,8,3.2,3800,120,0.5,0.5,0.02 ,0,6,2.4,3800,120,0.1,0.5,0.01 ,0,1,6,1299000
2400,0.65,6,2.4,3800,120,0.1,0.5,0.01 ,0,2,0.8,130,20,0,0.1,0.00 ,0,1,6,1514705
2640,1,10,4,4500,2400,100,1,0.02 ,0,10,4,3800,120,1,1,0.02 ,0,1,6,611765
2640,0.98,10,4,3800,120,10,1,0.02 ,0,8,3.2,3800,120,0.5,0.5,0.02 ,0,1,6,700800
2640,0.9,10,4,3800,120,1,1,0.02 ,0,6,2.4,3800,120,0.1,0.5,0.01 ,0,1,6,1724000
2640,0.56,8,3.2,3800,120,0.5,0.5,0.02 ,0,2,0.8,130,20,0,0.1,0.00 ,0,1,6,2813705
2640,0.98,10,4,4500,2400,100,1,0.02 ,0,8,3.2,3800,120,0.5,0.5,0.02 ,0,1,6,1036765
2640,0.9,10,4,3800,120,10,1,0.02 ,0,6,2.4,3800,120,0.1,0.5,0.01 ,0,1,6,1999800
2640,0.56,10,4,3800,120,1,1,0.02 ,0,2,0.8,130,20,0,0.1,0.00 ,0,1,6,3238705
2400,1,10,4,4500,2400,100,1,0.02 ,0,6,2.4,3800,120,0.1,0.5,0.01 ,0,1,6,2335765
2400,0.65,10,4,3800,120,10,1,0.02 ,0,2,0.8,130,20,0,0.1,0.00 ,0,1,6,3514505
300,1,10,4,1600,20,8000,1,0.02 ,0,8,3.2,1600,12,1,1,0.02 ,0,1,6,400000
330,1,10,4,1600,20,8000,1,0.02 ,0,10,4,1600,20,40,1,0.02 ,0,1,6,100000
330,0.9,10,4,1600,20,40,1,0.02 ,0,8,3.2,1600,12,1,1,0.02 ,0,1,6,300000
1440,0.5,100,30,12000,400,0.1,5,0.20 ,0,20,6,450,75,0,1,0.04 ,0,2,6,1244000
2500,1,35,10.5,1500,10,10,1,0.07 ,0,6,1.8,120,2,0,0.2,0.01 ,0,2,6,18107800
2750,0.99,35,10.5,1500,10,10,1,0.07 ,0,35,10.5,1500,10,1,1,0.07 ,0,3,6,272300
2750,0.9,35,10.5,1500,10,1,1,0.07 ,0,30,9,1500,10,0.1,1,0.06 ,0,2,6,853400
2500,0.65,30,9,1500,10,0.1,1,0.06 ,0,3,0.9,45,1,0,0.1,0.01 ,0,2,6,1142300
875,0.5,85,25.5,4285,28,0.3,2.8,0.17 ,0,8,2.4,150,3,0,0.5,0.02 ,0,2,6,364500
437.5,0.4,170,51,8570,56,0.6,5.6,0.34 ,0,30,9,220,5,0,1,0.06 ,0,2,6,225300
262.5,1,283,84.9,14285,95,1,9,0.57 ,0,50,15,400,10,0.1,3,0.10 ,0,2,6,15250000
2750,0.9,35,10.5,1500,10,10,1,0.07 ,0,30,9,1500,10,0.1,1,0.06 ,0,2,6,1125700
2500,0.65,35,10.5,1500,10,1,1,0.07 ,0,3,0.9,45,1,0,0.1,0.01 ,0,2,6,1995700
2500,0.825,30,9,1500,10,0.1,1,0.06 ,0,5,1.5,80,1.5,0,0.2,0.01 ,0,2,6,1506800
875,0.7,85,25.5,4285,28,0.3,2.8,0.17 ,0,15,4.5,170,4,0,0.8,0.03 ,0,2,6,589800
437.5,1,170,51,8570,56,0.6,5.6,0.34 ,0,35,10.5,280,7,0,1.5,0.07 ,0,2,6,15475300
2500,0.65,35,10.5,1500,10,10,1,0.07 ,0,3,0.9,45,1,0,0.1,0.01 ,0,2,6,2268000
2750,0.725,35,10.5,1500,10,1,1,0.07 ,0,5,1.5,80,1.5,0,0.2,0.01 ,0,2,6,2360200
2500,0.895,30,9,1500,10,0.1,1,0.06 ,0,6,1.8,110,1.8,0,0.15,0.01 ,0,2,6,1732100
875,1,85,25.5,4285,28,0.3,2.8,0.17 ,0,15,4.5,200,4,0,0.8,0.03 ,0,2,6,15839800
2500,0.825,35,10.5,1500,10,10,1,0.07 ,0,5,1.5,80,1.5,0,0.2,0.01 ,0,2,6,2632500
2500,0.895,35,10.5,1500,10,1,1,0.07 ,0,6,1.8,110,1.8,0,0.15,0.01 ,0,2,6,2585500
2500,1,30,9,1500,10,0.1,1,0.06 ,0,6,1.8,120,2,0,0.2,0.01 ,0,2,6,16982100
2500,0.895,35,10.5,1500,10,10,1,0.07 ,0,6,1.8,110,1.8,0,0.15,0.01 ,0,2,6,2857800
2500,1,35,10.5,1500,10,1,1,0.07 ,0,6,1.8,120,2,0,0.2,0.01 ,0,2,6,17835500
50,1,35,10.5,2500,20,10,1,0.07 ,0,1,0.3,3,0.5,0,0,0.00 ,0,2,5,3284445
55,1,35,10.5,2500,20,10,1,0.07 ,0,35,10.5,2500,20,2,1,0.07 ,0,2,5,157245
55,0.9,35,10.5,2500,20,2,1,0.07 ,0,35,10.5,2500,20,0.5,1,0.07 ,0,3,5,252300
72,0.67,35,10.5,2500,20,0.5,1,0.07 ,0,10,3,100,2,0,0.2,0.02 ,0,1,5,524500
24,0.5,105,31.5,7500,60,1.5,3,0.21 ,0,20,6,200,4,0,0.5,0.04 ,0,1,5,183000
12,1,210,63,15000,120,3,6,0.42 ,0,30,9,200,10,0,2,0.06 ,0,2,5,1578400
82,0.73,15,4.5,150,3,0,0.3,0.03 ,0,3,0.9,10,1,0,0.1,0.01 ,0,1,5,345000
60,0.83,3,0.9,10,1,0,0.1,0.01 ,0,1,0.3,3,0.5,0,0,0.00 ,0,1,5,244000
55,0.9,35,10.5,2500,20,10,1,0.07 ,0,35,10.5,2500,20,2,1,0.07 ,0,3,5,409545
55,0.57,35,10.5,2500,20,2,1,0.07 ,0,10,3,100,2,0,0.2,0.02 ,0,2,5,776800
72,0.835,35,10.5,2500,20,0.5,1,0.07 ,0,12,3.6,120,2,0,0.3,0.02 ,0,1,5,707500
24,1,105,31.5,7500,60,1.5,3,0.21 ,0,23,6.9,200,6,0,0.8,0.05 ,0,2,5,1761400
72,0.7,15,4.5,150,3,0,0.3,0.03 ,0,1,0.3,3,0.5,0,0,0.00 ,0,1,5,589000
55,0.57,35,10.5,2500,20,10,1,0.07 ,0,10,3,100,2,0,0.2,0.02 ,0,2,5,934045
55,0.76,35,10.5,2500,20,2,1,0.07 ,0,12,3.6,120,2,0,0.3,0.02 ,0,2,5,959800
50,1,35,10.5,2500,20,0.5,1,0.07 ,0,18,5.4,140,3,0,0.3,0.04 ,0,2,5,2285900
50,0.83,35,10.5,2500,20,10,1,0.07 ,0,12,3.6,120,2,0,0.3,0.02 ,0,2,5,1117045
50,1,35,10.5,2500,20,2,1,0.07 ,0,18,5.4,140,3,0,0.3,0.04 ,0,2,5,2538200
72,1,35,10.5,2500,20,0.5,1,0.07 ,0,3,0.9,10,1,0,0.1,0.01 ,0,2,5,2630900
50,1,35,10.5,2500,20,10,1,0.07 ,0,18,5.4,140,3,0,0.3,0.04 ,0,2,5,2695445
55,1,35,10.5,2500,20,2,1,0.07 ,0,3,0.9,10,1,0,0.1,0.01 ,0,2,5,2883200
50,1,35,10.5,2500,20,0.5,1,0.07 ,0,1,0.3,3,0.5,0,0,0.00 ,0,2,5,2874900
50,1,35,10.5,2500,20,10,1,0.07 ,0,3,0.9,10,1,0,0.1,0.01 ,0,2,5,3040445
55,1,35,10.5,2500,20,2,1,0.07 ,0,1,0.3,3,0.5,0,0,0.00 ,0,2,5,3127200
800,1,400,80,20000,100,5,20,2.00 ,0,40,8,1000,10,0,2,0.20 ,0,1,5,9820000
800,0.75,400,80,20000,100,5,20,2.00 ,0,40,8,1000,10,0,2,0.20 ,0,1,5,2800000
200,0.75,1600,320,80000,400,20,80,8.00 ,0,100,20,3000,10,0,5,0.50 ,0,1,5,3450000
50,1,6400,1280,320000,1600,80,320,32.00 ,0,400,80,5000,100,0,50,2.00 ,0,3,5,3570000
200,0.875,400,80,20000,100,5,20,2.00 ,0,100,20,3000,10,0,5,0.50 ,0,1,5,6250000
200,1,1600,320,80000,400,20,80,8.00 ,0,200,40,3500,20,0,10,1.00 ,0,2,5,7020000
200,1,50,10,2400,100,0.5,3,0.25 ,0,5,1,120,6,0,2,0.03 ,0,1,5,3951200
200,0.6,50,10,2400,100,0.5,3,0.25 ,0,3,0.6,80,5,0,1,0.02 ,0,1,5,425000
120,0.5,125,25,6000,250,1.25,7.5,0.63 ,0,8,1.6,200,10,0,2,0.04 ,0,1,5,256200
200,0.75,250,50,12000,500,2.5,15,1.25 ,0,20,4,300,30,0,3,0.10 ,0,1,5,2800000
50,1,1000,200,48000,2000,10,60,5.00 ,0,100,20,500,80,0,20,0.50 ,0,2,5,470000
20,1,50,20,7000,50,1,1,0.25 ,0,5,2,200,3,0,0.5,0.03 ,0,3,4,820000
20,0.99,50,20,7000,50,1,1,0.25 ,0,30,12,7000,50,0.1,1,0.15 ,0,3,4,32000
20,0.5,30,12,7000,50,0.1,1,0.15 ,0,4,1.6,190,2,0,0.3,0.02 ,0,3,4,156000
10,1,60,24,14000,100,0.2,2,0.30 ,0,10,4,400,10,0,1,0.05 ,0,3,4,632000
20,0.5,50,20,7000,50,1,1,0.25 ,0,4,1.6,190,2,0,0.3,0.02 ,0,3,4,188000
20,1,30,12,7000,50,0.1,1,0.15 ,0,10,4,400,10,0,1,0.05 ,0,3,4,788000
720,0.8,25,10,8100,150,10,1,0.13 ,0,2,0.8,250,10,0,0.5,0.01 ,0,2,4,852000
750,0.95,25,10,8100,150,10,1,0.13 ,0,20,8,8100,150,0.5,1,0.10 ,0,3,4,275000
720,0.6,20,8,8100,150,0.5,1,0.10 ,0,1,0.4,200,5,0,0.2,0.01 ,0,2,4,352000
288,0.5,50,20,20250,375,1.25,2.5,0.25 ,0,4,1.6,1000,20,0,0.8,0.02 ,0,2,4,225000
750,0.55,25,10,8100,150,10,1,0.13 ,0,1,0.4,200,5,0,0.2,0.01 ,0,2,4,627000
720,0.8,20,8,8100,150,0.5,1,0.10 ,0,2,0.8,250,10,0,0.5,0.01 ,0,2,4,577000
1140,0.7,60,24,12000,50,7,1,0.30 ,0,12,4.8,650,3,0,0.3,0.06 ,0,2,4,1259000
1200,0.95,60,24,12000,50,7,1,0.30 ,0,55,22,12000,50,0.5,1,0.28 ,0,3,4,325000
1140,0.5,55,22,12000,50,0.5,1,0.28 ,0,10,4,500,2,0,0.2,0.05 ,0,2,4,665000
570,0.4,110,44,24000,100,1,2,0.55 ,0,20,8,1100,5,0,0.5,0.10 ,0,2,4,269000
1200,0.45,60,24,12000,50,7,1,0.30 ,0,10,4,500,2,0,0.2,0.05 ,0,2,4,990000
1140,0.8,55,22,12000,50,0.5,1,0.28 ,0,12,4.8,650,3,0,0.3,0.06 ,0,2,4,934000
1680,0.7,60,24,12000,50,7,1,0.30 ,0,12,4.8,650,3,0,0.3,0.06 ,0,2,4,1576550
1800,0.95,60,24,12000,50,7,1,0.30 ,0,55,22,12000,50,0.5,1,0.28 ,0,3,4,422500
1680,0.5,55,22,12000,50,0.5,1,0.28 ,0,10,4,500,2,0,0.2,0.05 ,0,2,4,831250
840,0.4,110,44,24000,100,1,2,0.55 ,0,20,8,1100,5,0,0.5,0.10 ,0,2,4,322800
1800,0.45,60,24,12000,50,7,1,0.30 ,0,10,4,500,2,0,0.2,0.05 ,0,2,4,1253750
1680,0.8,55,22,12000,50,0.5,1,0.28 ,0,12,4.8,650,3,0,0.3,0.06 ,0,2,4,1154050
1140,0.44,40,16,13000,400,10,1,0.20 ,0,5,2,400,20,0,0.2,0.03 ,0,2,4,1148000
1200,0.95,40,16,13000,400,10,1,0.20 ,0,35,14,13000,400,0.5,1,0.18 ,0,2,4,325000
1140,0.44,35,14,13000,400,0.5,1,0.18 ,0,5,2,400,20,0,0.2,0.03 ,0,2,4,823000
2400,0.65,50,20,2000,300,1,5,0.25 ,0,10,4,60,20,0,1,0.05 ,0,1,4,3332000
2640,0.9,50,20,2000,300,1,5,0.25 ,0,50,20,2000,300,0.2,5,0.25 ,0,1,4,1520000
2400,0.65,50,20,2000,300,0.2,5,0.25 ,0,10,4,60,20,0,1,0.05 ,0,1,4,1812000
2400,0.65,50,20,2000,300,1,5,0.25 ,0,10,4,60,20,0,1,0.05 ,0,2,4,2680000
2640,0.9,50,20,2000,300,1,5,0.25 ,0,50,20,2000,300,0.2,5,0.25 ,0,2,4,1132000
2400,0.65,50,20,2000,300,0.2,5,0.25 ,0,10,4,60,20,0,1,0.05 ,0,2,4,1548000
240,1,50,20,2000,1500,5,5,0.25 ,0,15,6,120,10,0,2,0.08 ,0,2,4,2645020
240,1,50,20,2000,1500,5,5,0.25 ,0,50,20,2000,150,10,5,0.25 ,0,1,4,177000
240,0.99,50,20,2000,150,10,5,0.25 ,0,50,20,2000,150,3,5,0.25 ,0,3,4,21000
240,0.99,50,20,2000,150,3,5,0.25 ,0,50,20,2000,150,1,5,0.25 ,0,3,4,21000
240,0.99,50,20,2000,150,1,5,0.25 ,0,40,16,2000,150,0.2,4,0.20 ,0,3,4,30000
240,0.7,40,16,2000,150,0.2,4,0.20 ,0,10,4,80,6,0,1,0.05 ,0,2,4,245020
72,0.67,133,53.2,6666,500,0.7,13,0.67 ,0,20,8,200,30,0,3,0.10 ,0,2,4,201000
24,1,400,160,20000,1500,2,40,2.00 ,0,100,40,1000,50,0,10,0.50 ,0,2,4,1950000
240,0.99,50,20,2000,1500,5,5,0.25 ,0,50,20,2000,150,3,5,0.25 ,0,2,4,198000
240,0.98,50,20,2000,150,3,5,0.25 ,0,50,20,2000,150,1,5,0.25 ,0,3,4,42000
240,0.98,50,20,2000,150,10,5,0.25 ,0,40,16,2000,150,0.2,4,0.20 ,0,3,4,51000
240,0.7,40,16,2000,150,0.2,4,0.20 ,0,10,4,80,6,0,1,0.05 ,0,2,4,275020
240,0.9,40,16,2000,150,0.2,4,0.20 ,0,12,4.8,90,8,0,1,0.06 ,0,2,4,446020
72,1,133,53.2,6666,500,0.7,13,0.67 ,0,35,14,400,35,0,2,0.18 ,0,2,4,2151000
240,0.98,50,20,2000,1500,5,5,0.25 ,0,40,16,2000,150,1,4,0.20 ,0,2,4,219000
240,0.98,50,20,2000,1500,10,5,0.25 ,0,40,16,2000,150,0.2,4,0.20 ,0,3,4,72000
240,0.7,50,20,2000,150,10,5,0.25 ,0,10,4,80,6,0,1,0.05 ,0,2,4,296020
240,1,40,16,2000,150,0.2,4,0.20 ,0,15,6,120,10,0,2,0.08 ,0,2,4,476020
240,0.97,50,20,2000,1500,5,5,0.25 ,0,40,16,2000,150,0.2,4,0.20 ,0,3,4,249000
240,0.7,50,20,2000,150,3,5,0.25 ,0,12,4.8,90,8,0,1,0.06 ,0,3,4,317020
240,0.9,50,20,2000,150,10,5,0.25 ,0,12,4.8,90,8,0,1,0.06 ,0,2,4,497020
240,1,50,20,2000,150,1,5,0.25 ,0,15,6,120,10,0,2,0.08 ,0,2,4,2426020
240,0.7,50,20,2000,1500,5,5,0.25 ,0,10,4,80,6,0,1,0.05 ,0,2,4,494020
240,0.9,50,20,2000,150,10,5,0.25 ,0,12,4.8,90,8,0,1,0.06 ,0,2,4,518020
240,1,50,20,2000,150,10,5,0.25 ,0,15,6,120,10,0,2,0.08 ,0,2,4,2447020
240,0.9,50,20,2000,1500,5,5,0.25 ,0,12,4.8,90,8,0,1,0.06 ,0,2,4,695020
240,1,50,20,2000,150,10,5,0.25 ,0,15,6,120,10,0,2,0.08 ,0,2,4,2468020
12000,1,10,4,1500,800,200,0,0.05 ,0,10,4,1500,220,20,0,0.05 ,0,1,4,4330000
20,0.75,5000,2000,20000,800,50,1400,5.00 ,40,1000,400,1500,100,0.5,300,1.00 ,0,1,4,1900000
20,1,5000,2000,20000,800,50,1400,5.00 ,40,4500,1800,20000,200,50,1200,4.50 ,40,2,4,100000
20,0.75,4500,1800,20000,200,50,1200,4.50 ,40,1000,400,1500,100,0.5,300,1.00 ,0,1,4,1800000
40,0.98,10,4,400,500,0,0,0.00 ,0,10,4,400,5,0,0,0.00 ,0,3,4,300000
550,1,10,4,2000,100,1,0.4,0.00 ,0,3,1.2,120,8,0,0.1,0.00 ,0,3,4,5592000
600,0.9,10,4,2000,100,1,0.4,0.00 ,0,10,4,2000,100,0.1,0.4,0.00 ,0,3,4,380000
550,0.7,10,4,10000,100,0.1,0.4,0.00 ,0,2,0.8,60,5,0,0.1,0.00 ,0,2,4,460000
165,1,33,13.2,33000,330,0.3,1.3,0.00 ,0,5,2,200,20,0,0.2,0.00 ,0,3,4,4752000
550,0.7,10,4,2000,100,1,0.4,0.00 ,0,2,0.8,60,5,0,0.1,0.00 ,0,3,4,840000
550,1,10,4,10000,100,0.1,0.4,0.00 ,0,3,1.2,120,8,0,0.1,0.00 ,0,3,4,5212000
150,1,10,4,2000,100,1,0.4,0.00 ,0,3,1.2,120,8,0,0.1,0.00 ,0,3,4,2312000
165,0.9,10,4,2000,100,1,0.4,0.00 ,0,10,4,2000,100,0.1,0.4,0.00 ,0,3,4,200000
150,0.7,10,4,10000,100,0.1,0.4,0.00 ,0,2,0.8,60,5,0,0.1,0.00 ,0,2,4,260000
45,1,33,13.2,33000,330,0.3,1.3,0.00 ,0,5,2,200,20,0,0.2,0.00 ,0,3,4,1852000
150,0.7,10,4,2000,100,1,0.4,0.00 ,0,2,0.8,60,5,0,0.1,0.00 ,0,3,4,460000
150,1,10,4,10000,100,0.1,0.4,0.00 ,0,3,1.2,120,8,0,0.1,0.00 ,0,3,4,2112000
4800,1,10,4,1500,800,200,0,0.00 ,0,10,4,1500,220,20,0,0.00 ,0,1,4,3120000
720,0.67,50,20,2400,40,10,5,0.00 ,0,5,2,80,2,0,1,0.00 ,0,3,4,850000
720,0.99,50,20,2400,40,10,5,0.00 ,0,50,20,2400,40,1,5,0.00 ,0,3,4,120000
720,0.99,50,20,2400,40,1,5,0.00 ,0,30,12,2400,40,0.5,5,0.00 ,0,3,4,160000
800,0.9,30,12,2400,40,0.5,5,0.00 ,0,20,8,2400,40,0,5,0.00 ,0,3,4,220000
720,0.67,20,8,2400,40,0,5,0.00 ,0,5,2,80,2,0,1,0.00 ,0,3,4,350000
720,0.98,50,20,2400,40,10,5,0.00 ,0,30,12,2400,40,0.5,5,0.00 ,0,3,4,280000
800,0.9,50,20,2400,40,1,5,0.00 ,0,20,8,2400,40,0,5,0.00 ,0,3,4,380000
720,0.67,30,12,2400,40,0.5,5,0.00 ,0,5,2,80,2,0,1,0.00 ,0,3,4,570000
800,0.9,50,20,2400,40,10,5,0.00 ,0,20,8,2400,40,0,5,0.00 ,0,3,4,500000
720,0.67,50,20,2400,40,1,5,0.00 ,0,5,2,80,2,0,1,0.00 ,0,3,4,730000
400,1,500,200,15000,1000,8500,40,20.00 ,0,500,200,15000,1000,1,40,20.00 ,0,1,4,1650000
960,0.67,50,20,2400,40,10,5,0.50 ,0,10,4,80,2,0,1,0.10 ,0,1,4,1478750
1000,0.9,50,20,2400,40,10,5,0.50 ,0,50,20,2400,40,0.5,5,0.50 ,0,1,4,650000
960,0.67,50,20,2400,40,0.5,5,0.50 ,0,10,4,80,2,0,1,0.10 ,0,1,4,828750
180,1,50,20,3400,300,10,5,0.50 ,0,50,20,3400,300,1,5,0.50 ,0,3,4,70000
5000,1,50,20,5000,300,5,5,0.50 ,0,25,10,200,10,0,4,0.25 ,0,4,4,15482000
5500,0.9,50,20,5000,100,5,5,0.50 ,0,45,18,5000,100,0.5,5,0.45 ,0,3,4,2867300
5000,0.75,45,18,2000,100,0.5,5,0.45 ,0,15,6,80,5,0,1,0.15 ,0,2,4,4057990
1250,0.75,180,72,8000,400,0.5,20,1.80 ,0,40,16,240,30,0,5,0.40 ,0,2,4,1429320
312,1,720,288,32000,1600,0.5,80,7.20 ,0,720,288,32000,150,8,80,7.20 ,0,3,4,385000
312,0.99,720,288,32000,150,8,80,7.20 ,0,720,288,32000,150,0.5,80,7.20 ,0,3,4,82000
312,0.5,720,288,32000,150,0.5,80,7.20 ,0,100,40,1000,10,0,20,1.00 ,0,2,4,816800
155,1,1440,576,64000,300,1,160,14.40 ,0,200,80,2000,10,0,50,2.00 ,0,3,4,5843590
5000,0.75,50,20,5000,100,5,5,0.50 ,0,15,6,80,5,0,1,0.15 ,0,3,4,6925290
5000,0.9375,45,18,2000,100,0.5,5,0.45 ,0,20,8,100,8,0,3,0.20 ,0,2,4,5487310
1250,0.75,180,72,8000,400,0.5,20,1.80 ,0,15,6,80,5,0,1,0.15 ,0,3,4,1814320
312,1,720,288,32000,1600,0.5,80,7.20 ,0,720,288,32000,150,0.5,80,7.20 ,0,3,4,467000
312,0.5,720,288,32000,150,8,80,7.20 ,0,100,40,1000,10,0,20,1.00 ,0,3,4,898800
155,1,720,288,32000,150,0.5,80,7.20 ,0,120,48,1200,10,0,30,1.20 ,0,3,4,6660390
5000,0.9375,50,20,5000,100,5,5,0.50 ,0,20,8,100,8,0,3,0.20 ,0,2,4,8354610
312,0.5,720,288,32000,1600,0.5,80,7.20 ,0,100,40,1000,10,0,20,1.00 ,0,3,4,1283800
312,1,720,288,32000,150,8,80,7.20 ,0,120,48,1200,10,0,30,1.20 ,0,3,4,6742390
1250,0.875,180,72,8000,400,0.5,20,1.80 ,0,60,24,500,25,0,8,0.60 ,0,2,4,2713120
312,1,720,288,32000,1600,0.5,80,7.20 ,0,120,48,1200,10,0,30,1.20 ,0,3,4,7127390
5000,0.9688,45,18,2000,100,0.5,5,0.45 ,0,20,8,180,12,0,4,0.20 ,0,2,4,6771110
1250,1,180,72,8000,400,0.5,20,1.80 ,0,20,8,220,20,0,8,0.20 ,0,3,4,8556710
5000,0.9688,50,20,5000,300,5,5,0.50 ,0,20,8,180,12,0,4,0.20 ,0,3,4,9638410
5000,1,45,20,2000,100,0.5,5,0.45 ,0,25,10,200,10,0,4,0.25 ,0,3,4,12614700
20000,0.815,100,30,11000,2000,100,10,0.25 ,0,5,1.5,30,1,0,1,0.01 ,0,3,4,36392400
22000,1,100,30,11000,2000,100,10,0.25 ,0,100,30,10000,200,10,8,0.25 ,0,3,4,2150000
22000,0.99,100,30,10000,200,10,8,0.25 ,0,100,30,10000,200,1,8,0.25 ,0,3,4,2850000
22000,0.9,100,30,10000,200,1,8,0.25 ,0,80,24,10000,200,0.2,8,0.20 ,0,3,4,5250000
